trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.11201101252552273}",20,2,-1.2272111402027694,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.1082443961074563}",20,10,-2.4415728038420568,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.1046044404428369}",20,12,16.86590205331148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.1010868862855181}",20,12,14.445476197410422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.09768761761586396}",20,3,-19.630645541230134,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.09440265682444296}",30,19,20.485304511898292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.09122816005768071}",20,9,19.35453204369947,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.08816041272002537}",25,18,15.940311002877472,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.08519582512736258}",25,0,-21.680627567128916,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.082330928306594}",20,12,4.558515977610284,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.07956236993646404}",20,6,25.96841246067171,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.07688691042488544}",20,13,14.717710209871807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.07430141911817317}",20,8,18.26326174689438,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.07180287063775143}",25,10,29.933485693986775,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.06938834134004662}",25,14,13.3262149020994,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.06705500589542449}",20,0,22.38017491859185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
