trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.938809387476845}",30,7,-60.4089258801331,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.9372113964682147}",25,0,-129.02559572042756,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",1
81,False,"{'a': 0.5, 'e': 0.9355919954166448}",20,0,-118.1950021011855,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9339511375667325}",30,4,-71.86836276051868,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.9322887750980486}",30,0,-105.75155017308656,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9306048591020997}",25,0,-176.89765428598614,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9288993395586106}",30,0,-106.92888653748663,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9271721653111089}",20,0,-60.28513322664059,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.9254232840417839}",20,0,-62.52744965209859,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9236526422455992}",25,0,-37.469516731553234,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9218601852036336}",20,0,-84.91198220387214,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9200458569556239}",20,0,-108.04666892162643,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9182096002716833}",20,0,-110.02670238819394,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.9163513566231667}",30,1,-133.87671303591142,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.914471066152654}",25,0,-152.0745909758054,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.9125686676430224}",20,0,-47.784645874597295,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9106440984855723}",20,0,-156.57474622460978,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.9086972946471782}",20,0,-100.33358518958107,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9067281906364277}",20,0,-79.42264397930032,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9047367194687116}",20,0,-115.92982018180133,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9027228126302304}",30,0,-67.21281660913236,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
