trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.5, 'e': 0.9999742327810559}",35,0,-185.4556000834753,"{0: 20, 1: 6, 2: 6, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9999739691795085}",20,0,-116.75711424181925,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.999973701512163}",20,0,-85.38030351174572,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9999734296949729}",20,0,-54.96471329905668,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9999731536417085}",20,0,-65.46718389505254,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9999728732638888}",20,0,-67.21704198901375,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9999725884707108}",20,0,-118.59880077352906,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9999722991689751}",25,0,-151.31318148563892,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9999720052630106}",20,0,-43.573640331828464,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9999717066545949}",20,0,-126.48348723767575,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9999714032428723}",25,0,-78.59296365599383,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9999710949242687}",25,0,-100.79148343383473,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9999707815924033}",20,0,-48.78454358879799,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9999704631379962}",25,0,-202.79013559397023,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
68,False,"{'a': 0.5, 'e': 0.9999701394487742}",30,0,-252.41155603243578,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
69,False,"{'a': 0.5, 'e': 0.9999698104093708}",20,0,-141.94374422215293,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.999969475901224}",20,0,-150.93978897746487,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9999691358024692}",25,0,-190.1935490523121,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.9999687899878281}",20,0,-151.75318641635096,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9999684383284939}",20,11,-34.32014565652738,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.9999680806920106}",20,0,-57.95067149885362,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9999677169421488}",25,5,-94.90758617770577,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.9999673469387755}",25,0,-60.06937476726995,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9999669705377197}",30,0,-212.36343195275455,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9999665875906312}",20,0,-108.4309992108067,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9999661979448351}",25,0,-120.1476578775522,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9999658014431791}",25,1,-100.96302222125898,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.9999653979238754}",25,0,-128.92253926502374,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9999649872203354}",30,0,-158.7679030837698,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9999645691609977}",35,0,-125.08255288895678,"{0: 19, 1: 8, 2: 7, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9999641435691491}",30,5,-52.20348469815542,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.9999637102627377}",20,0,-162.2637098823555,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.9999632690541781}",30,0,-147.49452091927643,"{0: 15, 1: 4, 2: 10, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9999628197501487}",20,12,-19.784733189819367,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.9999623621513795}",20,0,-62.47247545234024,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.999961896052431}",20,0,-100.23614957165732,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9999614212414645}",25,0,-73.02577297305851,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9999609375}",25,0,-78.5452732268217,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9999604446026661}",20,0,-45.728506569680924,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9999599423169364}",25,3,-50.443593051012996,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.9999594304028561}",20,0,-104.07277803535405,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9999589086127547}",25,14,-35.26337950900863,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
